Regressor,Method,,Heteroscedastic,Outliers,Norm,Uniform+,Uniform-,Uniform+-
Knn-5,ratio-diff-signed,MSqE,-0.21,-0.19,-0.04,-0.13,-0.05,0.31
Knn-5,ratio-diff,MSqE,0.40,0.59,-0.19,-0.30,-0.33,0.33
Knn-1,intersection_union_all,R2,0.21,0.19,-0.13,-0.03,-0.17,0.33
Knn-5,intersection_union_distance,MSqE,0.94,0.95,0.96,0.96,0.95,0.33
Knn-1,ratio-diff-signed,MAE,-0.14,-0.19,0.02,0.07,0.05,0.34
LinReg,intersection_union_distance,MAE,0.82,0.98,0.77,0.86,0.84,0.34
Knn-1,ratio-diff-signed,MSqE,-0.07,-0.16,0.00,-0.02,0.08,0.38
LinReg,intersection_union_distance,MSqE,0.80,0.93,0.72,0.84,0.82,0.38
Knn-1,ratio,R2,0.21,0.02,-0.01,-0.12,-0.18,0.41
Knn-1,ratio-diff,MAE,0.07,0.37,-0.11,-0.12,-0.06,0.41
Knn-1,ratio-diff,MSqE,0.03,0.28,-0.06,-0.09,0.00,0.50
Knn-1,intersection_union_distance,MAE,0.99,0.94,0.99,0.99,0.99,0.60
Knn-1,intersection_union_distance,MSqE,0.91,0.90,0.95,0.96,0.96,0.65
Knn-1,ratio-diff-signed,sigma,0.03,-0.01,0.01,0.06,0.03,0.68
LinReg,ratio-diff,sigma,0.09,-0.36,-0.11,0.10,0.05,0.80
LinReg,intersection_union_distance,sigma,-0.13,0.07,0.78,0.86,0.85,0.81
LinReg,ratio-diff-signed,sigma,0.02,-0.05,-0.01,-0.13,0.00,0.86
Knn-5,ratio-diff-signed,sigma,0.12,-0.03,-0.01,-0.13,-0.07,0.89
Knn-5,ratio-diff,sigma,0.11,-0.07,-0.25,-0.35,-0.39,0.91
Knn-1,ratio-diff,sigma,0.00,0.12,-0.09,-0.11,-0.04,0.92
Knn-5,intersection_union_distance,sigma,0.19,0.08,1.00,1.00,1.00,0.97
Knn-1,intersection_union_distance,sigma,0.09,-0.01,0.99,0.99,0.99,0.98
Knn-1,intersection_union_all,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-1,intersection_union_distance,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-1,intersection_union_sample,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-1,ratio,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-1,ratio-diff,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-1,ratio-diff-signed,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-1,ratio-signed,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,intersection_union_all,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,intersection_union_distance,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,intersection_union_sample,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,ratio,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,ratio-diff,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,ratio-diff-signed,EC,1.00,1.00,1.00,1.00,1.00,1.00
Knn-5,ratio-signed,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,intersection_union_all,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,intersection_union_distance,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,intersection_union_sample,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,ratio,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,ratio-diff,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,ratio-diff-signed,EC,1.00,1.00,1.00,1.00,1.00,1.00
LinReg,ratio-signed,EC,1.00,1.00,1.00,1.00,1.00,1.00
