,,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Heteroscedastic,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Outliers,Outliers,Outliers,Outliers,Outliers,Outliers,Outliers,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform+-,Uniform-,Uniform-,Uniform-,Uniform-,Uniform-,Uniform-,Uniform-
Method,,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed,intersection_union_all,intersection_union_distance,intersection_union_sample,ratio,ratio-diff,ratio-diff-signed,ratio-signed
,Regressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,LinReg,0.15,4.07,0.25,0.58,0.15,0.08,0.51,0.29,20.19,0.42,0.89,0.05,0.04,0.87,0.57,73.33,0.55,0.68,0.22,0.07,0.61,0.30,6.75,0.43,0.91,0.04,0.03,0.90,0.29,60.79,0.44,0.94,0.02,0.01,0.94,0.29,6.45,0.43,0.90,0.04,0.03,0.90
50%,Knn-1,0.23,24.71,0.38,0.82,0.14,0.01,0.68,0.27,71.45,0.39,0.82,0.14,0.03,0.74,0.35,187.71,0.39,0.82,0.14,0.03,0.73,0.26,19.90,0.38,0.82,0.14,0.03,0.73,0.30,72.37,0.43,0.89,0.08,0.04,0.86,0.26,22.46,0.39,0.82,0.14,0.03,0.73
50%,Knn-5,0.22,18.31,0.26,0.59,0.31,0.12,0.43,0.27,51.23,0.33,0.71,0.21,0.12,0.64,0.52,184.24,0.35,0.70,0.21,0.12,0.63,0.28,14.12,0.34,0.72,0.19,0.12,0.66,0.32,70.95,0.43,0.87,0.08,0.06,0.87,0.27,15.03,0.35,0.72,0.19,0.12,0.67
50%,LinReg,0.29,5.22,0.35,0.69,0.23,0.13,0.66,0.32,41.61,0.44,0.91,0.06,0.04,0.90,0.64,119.11,0.61,0.69,0.23,0.13,0.63,0.33,13.06,0.45,0.92,0.05,0.04,0.92,0.32,68.00,0.48,0.96,0.03,0.02,0.95,0.32,14.09,0.46,0.92,0.05,0.04,0.92
75%,Knn-1,0.26,85.93,0.40,0.82,0.15,0.02,0.70,0.29,100.26,0.41,0.83,0.14,0.04,0.74,0.53,361.27,0.42,0.83,0.15,0.04,0.74,0.30,28.83,0.41,0.83,0.15,0.04,0.74,0.35,83.25,0.48,0.92,0.09,0.05,0.90,0.29,30.04,0.41,0.82,0.15,0.04,0.75
75%,Knn-5,0.26,41.58,0.30,0.62,0.32,0.12,0.49,0.30,73.09,0.35,0.72,0.22,0.12,0.65,0.57,318.35,0.38,0.71,0.23,0.12,0.65,0.30,22.06,0.37,0.73,0.20,0.12,0.68,0.36,77.66,0.46,0.91,0.11,0.08,0.89,0.29,22.08,0.37,0.73,0.20,0.13,0.68
75%,LinReg,0.36,8.22,0.44,0.80,0.32,0.15,0.80,0.35,58.74,0.48,0.92,0.07,0.05,0.91,0.68,216.04,0.66,0.71,0.25,0.15,0.66,0.36,20.15,0.48,0.93,0.06,0.04,0.93,0.36,75.37,0.53,0.98,0.04,0.03,0.97,0.35,19.87,0.49,0.93,0.06,0.05,0.93
max,Knn-1,0.33,296.12,0.47,0.83,0.17,0.04,0.73,0.36,135.27,0.50,0.84,0.15,0.06,0.78,0.65,"1,748.19",0.50,0.84,0.16,0.07,0.75,0.40,37.48,0.45,0.84,0.16,0.06,0.76,0.46,100.26,0.59,0.97,0.13,0.09,0.98,0.37,45.33,0.46,0.84,0.16,0.06,0.77
max,Knn-5,0.38,131.12,0.37,0.71,0.36,0.14,0.68,0.39,115.99,0.42,0.74,0.27,0.14,0.70,0.64,"1,509.33",0.43,0.74,0.26,0.14,0.70,0.39,32.53,0.43,0.76,0.38,0.14,0.71,0.51,105.18,0.62,0.98,0.15,0.11,0.98,0.38,34.36,0.45,0.77,0.35,0.15,0.75
max,LinReg,0.70,53.63,0.63,0.92,0.41,0.19,0.91,0.52,89.25,0.57,0.94,0.10,0.09,0.94,0.73,528.89,0.72,0.82,0.30,0.18,0.75,0.42,28.99,0.54,0.95,0.10,0.07,0.95,0.46,103.17,0.63,1.00,0.10,0.05,1.00,0.48,28.41,0.60,0.95,0.11,0.07,0.95
