,sigma,n_train,n_test,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
0,0.6090762915273217,223,72,LinReg,ratio,5,25,0.9992550179438666,0.0014397674427243689,0.00041744042484090615,61.41331929986384,0.0020315683063200553,5850.086366511105,0.2117965571662282,0.5223307084960646,1.7293541507989696e-05
1,0.7153657985897398,356,59,LinReg,ratio,5,25,0.9994185143043617,0.0008971017957717476,0.00031143100737713426,57.979005113068574,0.0006475143128917303,5193.630747967331,0.17760596319019561,0.5634735207195848,1.4927843270521294e-05
2,1.7508589209336622,395,93,LinReg,ratio,5,25,0.9919146304899437,0.05668800871772439,0.003282473078709331,70.67331576819115,0.0025420256353872474,7266.433020485936,0.37432813358511463,0.4230259244381408,2.972264771768546e-05
3,1.8511733567818878,343,96,LinReg,ratio,5,25,0.9918514043195884,0.05605192352482406,0.0034889924656678066,69.97788146048413,0.0017188662944557262,7208.9805424519955,0.3960515874526487,0.465849134092132,2.9345522176988475e-05
4,2.4300054301417795,111,61,LinReg,ratio,5,25,0.997610580560699,0.0037293925623825804,0.0013623357956718003,66.87799615629923,0.004625103079143465,6189.521690574388,0.2631898519428355,0.5170632173513022,2.053536067522098e-05
5,2.527188270470404,209,83,LinReg,ratio,5,25,0.9961584735534816,0.009731374544208245,0.002022477041468375,67.23578477247088,0.007787075978066408,6737.490116697597,1.4491324923577502,0.5510196930087911,9.656889138541414e-05
6,3.3632087043311887,301,65,LinReg,ratio,5,25,0.9945155147177221,0.01950592961757425,0.0028107426460317955,60.25388993645048,0.004001378600472155,5409.617843492809,0.2882773197519905,0.5767125745505212,2.2556891821862316e-05
7,4.12367954222279,362,54,LinReg,ratio,5,25,0.9966284275646431,0.007192003940263398,0.0016759134689754006,70.59985905360104,0.006188251033735011,7162.745781315365,1.2527986652440395,0.4561445662307792,9.512292943428916e-05
8,6.526672220765317,253,90,LinReg,ratio,5,25,0.9930262492146303,0.022992194437702833,0.0038367906428706184,64.21433393194825,0.012286947799109492,6109.845222984412,2.3792734503523025,0.4511912128162145,0.00021371509899372246
9,6.8269131121796445,159,76,LinReg,ratio,5,25,0.9932757002621413,0.009226138692191913,0.0035307456280301887,62.292065301793755,0.00604353199062478,5801.367602301452,1.7486951246747315,0.5019987270896558,0.00015011156984339713
10,8.223074600525415,370,87,LinReg,ratio,5,25,0.992725540806111,0.021291800517554135,0.00403284568049238,70.88886554638898,0.027837686213804527,7296.358707006193,5.493015020543018,0.41789492964409347,0.00043823392234387814
11,8.584425298771292,423,67,LinReg,ratio,5,25,0.9938416528706019,0.015624774957858042,0.003160487906166433,65.0508409296818,0.013871797499655213,6170.17359287685,0.8336919250593684,0.5523014547218416,6.049143617128059e-05
12,10.11707353938671,363,51,LinReg,ratio,5,25,0.9921994103336018,0.015509859475602922,0.0042346544790489125,63.986000726776,0.005903383004414037,5932.786548634781,2.625914349486993,0.511716523753238,0.00021611945354562317
13,10.941009262348288,359,93,LinReg,ratio,5,25,0.9931352177074898,0.010728180843951904,0.0035182654605445765,71.7589300031742,0.012527542381766415,7953.445094457081,1.627481470899459,0.38177880493850974,0.00012650411588068327
