,sigma,n_train,n_test,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
0,3.519304487843966,341,190,LinReg,ratio,5,50,0.9235613536803317,0.08779142700769449,0.034612932380166724,0.9383296128349963,0.002268857276863422,1.1099513057126251,0.005864989564963239,0.9996904254687559,1.6357937379611822e-06
1,4.167903208361434,402,132,LinReg,ratio,5,50,0.9030947792119676,0.11208914052698957,0.04131661494186663,0.973755409899954,0.0034675249096718227,1.3197076160759311,0.009591877445793724,0.9995752213131198,3.087369548001658e-06
2,4.514282006005776,654,122,LinReg,ratio,5,50,0.9238580890511637,0.10331413041746168,0.03332812117175982,1.1165828357683572,0.0026594802917148165,1.6564161242277158,0.007036086909905045,0.9995441612216723,1.936301642028292e-06
3,4.525110457747417,861,197,LinReg,ratio,5,50,0.9432687319120787,0.08011481104531695,0.0249443872332597,1.1547963207783456,0.002195862384990691,1.7242875235316015,0.0017652185795931175,0.9995167232342881,4.947487668285777e-07
4,4.8264235962054425,570,128,LinReg,ratio,5,50,0.9223126920687037,0.11229366882269418,0.031433241987667455,1.2134079424543873,0.005176542225812341,1.9111409892442661,0.011351985844926173,0.9993353112714485,3.948184398881439e-06
5,6.675628656199594,565,169,LinReg,ratio,5,50,0.9086659742469619,0.12265193767898795,0.036665557466770825,1.5305000195776866,0.0015309320267007105,3.341845870757949,0.0061708323775536205,0.9990987317037029,1.6642226478217054e-06
6,6.70086315902496,710,174,LinReg,ratio,5,50,0.9225934637620123,0.11327109827518753,0.03073847649139708,1.6127395761466765,0.001770998025705201,3.575988099891242,0.008011296629605678,0.9989014879207089,2.4609998334916416e-06
7,7.81307831148359,544,137,LinReg,ratio,5,50,0.9352527878508794,0.0763084872972377,0.02928416575794524,1.9395240829150138,0.005815437870280617,5.0603940266501635,0.02516229819656981,0.9984161496786708,7.875535753563663e-06
8,9.584856035791345,791,173,LinReg,ratio,5,50,0.9264089435713518,0.10544571893335906,0.02984820375466939,2.314688369148731,0.0026880932316673827,7.506037360317602,0.012156349960194327,0.9976828996735851,3.7526435199641512e-06
9,12.730455896165038,506,179,LinReg,ratio,5,50,0.9148348076826677,0.11648636580583817,0.03532407312463103,3.133035698817511,0.011183177061686773,13.476201877589094,0.07336055262674746,0.9960927561518212,2.126990754171752e-05
10,13.170691761444496,718,150,LinReg,ratio,5,50,0.9307533148823735,0.10495143530545213,0.029216830823128356,3.3798287639780216,0.00492546521314355,15.201344964500123,0.03449293369844677,0.9958117963676776,9.503332142165715e-06
11,14.685604275307185,984,146,LinReg,ratio,5,50,0.9336372426928439,0.1102138318852019,0.02582462803700203,3.6162232618694676,0.004600451546652149,17.308795786985673,0.04908827538623295,0.9953237204578852,1.326207211474197e-05
12,15.066247756435446,301,182,LinReg,ratio,5,50,0.9181026201923009,0.09881062287889775,0.036171841692405435,3.8525941203594782,0.012246238430419906,19.240118766271973,0.14853941799598916,0.9940272796003353,4.6111171287270805e-05
13,15.52411519850776,445,188,LinReg,ratio,5,50,0.9208849265637548,0.10039950491720237,0.03338454356956504,3.9090230073864185,0.013415832063285497,20.554192658068697,0.1392720346592617,0.9939095020773202,4.126827318837002e-05
14,15.580129591962265,972,162,LinReg,ratio,5,50,0.9467646154301967,0.07013031292608876,0.02652058324273003,3.9381515277779293,0.004892777875335527,20.747386991227224,0.04076388536130402,0.9940164606869073,1.1756290597791445e-05
15,16.24372931180085,104,120,LinReg,ratio,5,50,0.8685900980862895,0.10921378041514798,0.05970034534430895,3.892651751078057,0.018648464070665793,19.997799260168133,0.1309519916492426,0.9938955061634653,3.9974179933743775e-05
16,16.294782869614522,324,152,LinReg,ratio,5,50,0.9154885026413988,0.09928377734059199,0.03737045228350069,3.98405685360202,0.023272928109187723,21.12446097429673,0.21789622717651722,0.9931950971890449,7.019173888574974e-05
17,17.716459141806297,814,181,LinReg,ratio,5,50,0.9294644786978211,0.10835747631925477,0.029143854592312852,4.323599040455449,0.011916385944642054,26.14218450062839,0.10816198066961193,0.9925634565553156,3.076832650665754e-05
18,20.637615441599156,604,187,LinReg,ratio,5,50,0.9306405532652079,0.09037867443599736,0.029552292007084948,5.026081723931921,0.011709910801090968,34.245746630293276,0.11893035978205961,0.9899768646310885,3.4808851108955485e-05
19,21.138359929191264,720,111,LinReg,ratio,5,50,0.938751616296866,0.09773569163360928,0.02569298076424883,5.351767958011187,0.007765971876473376,36.676170970863325,0.1712024037202215,0.987235106469288,5.958584001112749e-05
20,21.386286627797105,142,174,LinReg,ratio,5,50,0.8831695507440347,0.12254963810930443,0.04878504416657538,5.0836927176739195,0.014084955559934484,35.00057750012419,0.2652213996831257,0.9878518340131658,9.20542978640787e-05
21,21.774553784161178,264,134,LinReg,ratio,5,50,0.9107478972995349,0.10835535568132668,0.037502810163100066,5.577751708089857,0.01565178129861056,40.32036035629098,0.1454557572708751,0.9886438525063124,4.096731821783821e-05
22,22.816163387355992,405,187,LinReg,ratio,5,50,0.9240504934474648,0.10104807736710596,0.033512062253311374,5.97897563355344,0.006278683833935732,46.41389646338884,0.3748743306488573,0.9851546502475821,0.00011990246404060112
23,23.71388891206756,713,172,LinReg,ratio,5,50,0.942806394540183,0.08134679964195268,0.02687856246367421,6.192848973713466,0.0021061699718472977,49.235509297900485,0.052851943494941475,0.9826845770563639,1.8587271017569013e-05
24,25.687645679290227,857,135,LinReg,ratio,5,50,0.9372417500265781,0.10540000684006674,0.024657710449583554,6.768236430264425,0.005890497445639366,58.355999612301034,0.07442653519732581,0.9838145811938789,2.064268713517353e-05
25,26.170042159905584,729,105,LinReg,ratio,5,50,0.9352577764513028,0.08546278655660255,0.030303808682297925,6.353229411877865,0.024026488726688888,54.60115048490689,0.2878133738618854,0.9865660253641482,7.081311529118983e-05
26,26.274974219227467,489,145,LinReg,ratio,5,50,0.9316833829854808,0.09475250350735061,0.02963386605312654,6.816218753531419,0.02419815387370672,59.99060844729489,0.2425023301386095,0.9828078509659351,6.949648134530854e-05
27,28.256665303707674,472,136,LinReg,ratio,5,50,0.9258049750328456,0.09734859639003256,0.03134688357223926,7.209170001031826,0.015123676836165646,69.28178254276561,0.25592511882451985,0.9798523263304373,7.44249871853051e-05
28,28.98817509876556,496,121,LinReg,ratio,5,50,0.917093073390658,0.10579786335456483,0.03586998856652489,7.112789310944261,0.019886498883812314,69.81887531310312,0.5011903460286005,0.9813828238553893,0.00013364221225491257
29,30.062690312968677,884,149,LinReg,ratio,5,50,0.9329482435970065,0.1075363774853944,0.02620543866196418,7.182550458636561,0.0036672643467388286,68.29225803047623,0.17429982382563664,0.9790686098282121,5.342241894740692e-05
30,30.328679914365456,371,160,LinReg,ratio,5,50,0.9266197225091785,0.09136502543630028,0.031128853862143313,7.889820674379527,0.0024486524516817276,78.99118983890621,0.30274094510735344,0.973549098913991,0.0001013754927612874
31,30.481029608221768,175,101,LinReg,ratio,5,50,0.8739168303484444,0.14331232599712607,0.0449354135309988,7.760219932282392,0.05421447705508328,80.12032853009322,0.9870549381968745,0.979890233446328,0.0002477454192581457
